Strata,Match_Type,Year,N_Pre_Controle,N_Pre_Tratado,N_Post_Controle,N_Post_Tratado,DiD_Ext_Estimate,DiD_Ext_SE,DiD_Ext_PValue,DiD_Int_Estimate,DiD_Int_SE,DiD_Int_PValue
S2_Male,Mahalanobis,2023,7946,61,61,61,0.1244,0.082,0.1297,0.4172,0.3157,0.187
S2_Male,Logit,1997,2793,7,7,7,0.2181,0.0849,0.0105,0.4548,0.2698,0.0925
S2_Male,Logit,2007,7500,88,88,88,0.2181,0.0849,0.0105,0.4548,0.2698,0.0925
S2_Male,Logit,2017,7251,72,72,72,0.2181,0.0849,0.0105,0.4548,0.2698,0.0925
S2_Male,Logit,2023,7946,61,61,61,0.2181,0.0849,0.0105,0.4548,0.2698,0.0925
S2_Female,Mahalanobis,1997,4548,19,19,19,0.0857,0.1126,0.447,0.1264,0.3058,0.6796
S2_Female,Mahalanobis,2007,9320,74,74,74,0.0857,0.1126,0.447,0.1264,0.3058,0.6796
S2_Female,Mahalanobis,2017,8296,68,68,68,0.0857,0.1126,0.447,0.1264,0.3058,0.6796
S2_Female,Mahalanobis,2023,9429,52,52,52,0.0857,0.1126,0.447,0.1264,0.3058,0.6796
S2_Female,Logit,1997,4548,19,19,19,0.0768,0.0728,0.2922,0.3363,0.2542,0.1865
S2_Female,Logit,2007,9320,74,74,74,0.0768,0.0728,0.2922,0.3363,0.2542,0.1865
S2_Female,Logit,2017,8296,68,68,68,0.0768,0.0728,0.2922,0.3363,0.2542,0.1865
S2_Female,Logit,2023,9429,52,52,52,0.0768,0.0728,0.2922,0.3363,0.2542,0.1865
S3_Male,Mahalanobis,1997,18368,52,52,52,0.4268,0.2004,0.0341,0.5927,0.5175,0.253
S3_Male,Mahalanobis,2007,9728,63,63,63,0.4268,0.2004,0.0341,0.5927,0.5175,0.253
S3_Male,Mahalanobis,2017,5262,19,19,19,0.4268,0.2004,0.0341,0.5927,0.5175,0.253
S3_Male,Mahalanobis,2023,6134,17,17,17,0.4268,0.2004,0.0341,0.5927,0.5175,0.253
S3_Male,Logit,1997,18368,52,52,52,0.082,0.0984,0.4055,-0.2228,0.4313,0.6058
S3_Male,Logit,2007,9728,63,63,63,0.082,0.0984,0.4055,-0.2228,0.4313,0.6058
S3_Male,Logit,2017,5262,19,19,19,0.082,0.0984,0.4055,-0.2228,0.4313,0.6058
S3_Male,Logit,2023,6134,17,17,17,0.082,0.0984,0.4055,-0.2228,0.4313,0.6058
S3_Female,Mahalanobis,1997,11709,21,21,21,0.1305,0.2691,0.6285,0.6834,0.8782,0.4378
S3_Female,Mahalanobis,2007,7162,43,43,43,0.1305,0.2691,0.6285,0.6834,0.8782,0.4378
S3_Female,Mahalanobis,2017,3782,6,6,6,0.1305,0.2691,0.6285,0.6834,0.8782,0.4378
S3_Female,Mahalanobis,2023,4742,6,6,6,0.1305,0.2691,0.6285,0.6834,0.8782,0.4378
S3_Female,Logit,1997,11709,21,21,21,-0.2578,0.1553,0.0992,-0.4567,1.2805,0.7219
S3_Female,Logit,2007,7162,43,43,43,-0.2578,0.1553,0.0992,-0.4567,1.2805,0.7219
S3_Female,Logit,2017,3782,6,6,6,-0.2578,0.1553,0.0992,-0.4567,1.2805,0.7219
S3_Female,Logit,2023,4742,6,6,6,-0.2578,0.1553,0.0992,-0.4567,1.2805,0.7219
